0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,1,6,0,0
0,0,0,3,2,7,8,20,0,0,12,0,0
0,0,0,14,2,10,5,15,0,0,0,0,0
0,0,0,0,0,0,2,0,7,0,0,0,0
0,0,0,20,4,0,3,1,16,0,0,0,0
0,0,3,14,12,10,10,6,18,0,0,0,0
0,0,0,13,1,2,14,1,0,0,0,0,0
0,0,1,7,0,4,4,1,1,0,0,0,0
0,0,0,2,0,1,0,6,0,0,0,0,0
0,0,0,1,0,0,0,1,9,0,1,0,0
0,0,0,4,0,1,0,0,15,0,3,0,0
0,12,2,0,5,1,0,1,1,0,4,0,0
0,0,2,0,0,1,0,0,0,0,4,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0
